직원ID,퇴직여부,나이,성별,출장빈도,일대비급여수준,부서,집과의거리,전공,업무환경만족도,업무참여도,업무만족도,결혼여부,월급여,일한회사수,직원수,18세이상,야근정도,급여증가분백분율,스톡옵션정도,근속연수,현재역할년수,마지막승진년수
84,No,55,Female,Travel_Rarely,836,Research & Development,8,Medical,4,3,3,Divorced,14756,2,1,Y,Yes,14,3,5,0,0
85,No,36,Male,Travel_Frequently,1195,Research & Development,11,Life Sciences,2,2,2,Single,6499,1,1,Y,No,13,0,6,5,0
86,No,45,Male,Travel_Rarely,1339,Research & Development,7,Life Sciences,2,3,1,Divorced,9724,2,1,Y,No,17,1,1,0,0
88,No,35,Male,Travel_Frequently,664,Research & Development,1,Medical,2,3,1,Married,2194,4,1,Y,No,13,1,3,2,1
90,Yes,36,Male,Travel_Rarely,318,Research & Development,9,Medical,4,2,3,Married,3388,0,1,Y,Yes,17,1,1,0,0
91,No,59,Female,Travel_Frequently,1225,Sales,1,Life Sciences,1,2,3,Single,5473,7,1,Y,No,11,0,4,3,1
94,No,29,Male,Travel_Rarely,1328,Research & Development,2,Life Sciences,3,3,2,Married,2703,0,1,Y,No,23,1,5,4,0
95,No,31,Male,Travel_Rarely,1082,Research & Development,1,Medical,3,3,2,Single,2501,1,1,Y,No,17,0,1,1,1
96,No,32,Male,Travel_Rarely,548,Research & Development,1,Life Sciences,2,3,2,Married,6220,1,1,Y,No,17,2,10,4,0
97,No,36,Female,Travel_Rarely,132,Research & Development,6,Life Sciences,2,4,4,Married,3038,3,1,Y,No,12,0,1,0,0
98,No,31,Female,Travel_Rarely,746,Research & Development,8,Life Sciences,3,3,4,Single,4424,1,1,Y,No,23,0,11,7,1
100,No,35,Male,Travel_Rarely,776,Sales,1,Marketing,3,2,1,Single,4312,0,1,Y,No,14,0,15,13,2
101,No,45,Male,Travel_Rarely,193,Research & Development,6,Other,4,3,1,Married,13245,4,1,Y,Yes,14,0,0,0,0
102,No,37,Male,Travel_Rarely,397,Research & Development,7,Medical,1,3,3,Single,13664,4,1,Y,No,13,0,5,2,0
103,No,46,Male,Travel_Rarely,945,Human Resources,5,Medical,2,3,2,Divorced,5021,8,1,Y,Yes,22,1,4,2,0
104,No,30,Male,Travel_Rarely,852,Research & Development,1,Life Sciences,4,2,4,Married,5126,1,1,Y,Yes,12,2,10,8,3
105,No,35,Male,Travel_Rarely,1214,Research & Development,1,Medical,2,2,3,Single,2859,1,1,Y,No,18,0,6,4,0
106,No,55,Male,Travel_Rarely,111,Sales,1,Life Sciences,1,3,4,Married,10239,3,1,Y,No,14,1,1,0,1
107,No,38,Female,Non-Travel,573,Research & Development,6,Medical,2,1,4,Divorced,5329,7,1,Y,Yes,12,3,13,11,1
110,No,34,Male,Travel_Rarely,1153,Research & Development,1,Medical,1,3,2,Married,4325,1,1,Y,No,15,0,5,2,1
112,No,56,Male,Travel_Rarely,1400,Research & Development,7,Life Sciences,4,1,4,Single,7260,4,1,Y,No,11,0,6,4,0
113,No,23,Male,Travel_Rarely,541,Sales,2,Technical Degree,3,3,1,Divorced,2322,3,1,Y,No,13,1,0,0,0
116,No,51,Male,Travel_Rarely,432,Research & Development,9,Life Sciences,4,3,4,Married,2075,3,1,Y,No,23,2,4,2,0
117,No,30,Male,Travel_Rarely,288,Research & Development,2,Life Sciences,3,2,4,Married,4152,1,1,Y,No,19,3,11,10,10
118,Yes,46,Male,Travel_Rarely,669,Sales,9,Medical,3,2,4,Single,9619,1,1,Y,No,16,0,9,8,4
119,No,40,Male,Travel_Frequently,530,Research & Development,1,Life Sciences,3,2,2,Married,13503,1,1,Y,No,22,1,22,3,11
120,No,51,Male,Travel_Rarely,632,Sales,21,Marketing,3,3,4,Single,5441,0,1,Y,Yes,22,0,10,7,1
121,No,30,Female,Travel_Rarely,1334,Sales,4,Medical,3,2,2,Divorced,5209,1,1,Y,Yes,12,3,11,8,2
124,No,46,Male,Travel_Frequently,638,Research & Development,1,Medical,3,2,1,Married,10673,2,1,Y,Yes,13,1,10,9,9
125,No,32,Male,Travel_Rarely,1093,Sales,6,Medical,2,3,3,Single,5010,1,1,Y,No,16,0,11,8,5
126,No,54,Female,Travel_Rarely,1217,Research & Development,2,Technical Degree,1,3,3,Married,13549,9,1,Y,No,12,1,4,3,0
128,No,24,Female,Travel_Rarely,1353,Sales,3,Other,1,3,3,Married,4999,0,1,Y,No,21,1,3,2,0
129,No,28,Male,Non-Travel,120,Sales,4,Medical,2,3,3,Married,4221,1,1,Y,No,15,0,5,4,0
131,No,58,Male,Travel_Rarely,682,Sales,10,Medical,4,3,3,Single,13872,0,1,Y,No,13,0,37,10,1
132,No,44,Male,Non-Travel,489,Research & Development,23,Medical,2,3,2,Married,2042,4,1,Y,No,12,1,3,2,1
133,Yes,37,Male,Travel_Rarely,807,Human Resources,6,Human Resources,3,3,1,Divorced,2073,4,1,Y,Yes,22,0,3,2,0
134,No,32,Male,Travel_Rarely,827,Research & Development,1,Life Sciences,4,3,1,Single,2956,1,1,Y,No,13,0,1,0,0
137,Yes,20,Female,Travel_Frequently,871,Research & Development,6,Life Sciences,4,2,4,Single,2926,1,1,Y,Yes,18,0,1,0,1
138,No,34,Female,Travel_Rarely,665,Research & Development,6,Other,1,3,3,Single,4809,1,1,Y,No,14,0,16,13,2
139,No,37,Male,Non-Travel,1040,Research & Development,2,Life Sciences,3,2,4,Divorced,5163,5,1,Y,No,14,1,1,0,0
140,No,59,Female,Non-Travel,1420,Human Resources,2,Human Resources,3,2,4,Married,18844,9,1,Y,No,21,1,3,2,2
141,No,50,Female,Travel_Frequently,1115,Research & Development,1,Life Sciences,1,3,2,Married,18172,3,1,Y,Yes,19,0,8,3,0
142,Yes,25,Male,Travel_Rarely,240,Sales,5,Marketing,3,2,3,Single,5744,1,1,Y,Yes,11,0,6,4,0
143,No,25,Male,Travel_Rarely,1280,Research & Development,7,Medical,4,2,4,Married,2889,1,1,Y,No,11,2,2,2,2
144,No,22,Female,Travel_Rarely,534,Research & Development,15,Medical,2,3,4,Single,2871,1,1,Y,No,15,0,0,0,0
145,No,51,Female,Travel_Frequently,1456,Research & Development,1,Medical,1,2,1,Single,7484,3,1,Y,No,20,0,13,12,12
147,Yes,34,Male,Travel_Frequently,658,Research & Development,7,Life Sciences,1,1,3,Single,6074,1,1,Y,Yes,24,0,9,7,0
148,No,54,Female,Non-Travel,142,Human Resources,26,Human Resources,4,4,4,Single,17328,2,1,Y,Yes,12,0,5,3,4
150,No,24,Male,Travel_Rarely,1127,Research & Development,18,Life Sciences,2,3,3,Married,2774,0,1,Y,No,12,1,5,3,1
151,No,34,Female,Travel_Rarely,1031,Research & Development,6,Life Sciences,3,2,2,Divorced,4505,6,1,Y,No,15,1,1,0,0
152,No,37,Male,Travel_Rarely,1189,Sales,3,Life Sciences,3,3,4,Single,7428,2,1,Y,No,12,0,5,3,1
153,No,34,Female,Travel_Rarely,1354,Research & Development,5,Medical,3,2,1,Single,11631,2,1,Y,No,12,0,11,10,5
154,No,36,Female,Travel_Frequently,1467,Sales,11,Technical Degree,2,3,4,Married,9738,0,1,Y,No,14,1,9,7,2
155,No,36,Female,Travel_Rarely,922,Research & Development,3,Life Sciences,1,3,4,Divorced,2835,5,1,Y,No,22,1,1,0,0
158,No,43,Male,Travel_Frequently,394,Sales,26,Life Sciences,3,3,4,Married,16959,1,1,Y,Yes,12,2,25,12,4
159,No,30,Male,Travel_Frequently,1312,Research & Development,23,Life Sciences,1,1,3,Divorced,2613,1,1,Y,No,25,3,10,7,0
160,No,33,Male,Non-Travel,750,Sales,22,Marketing,3,3,2,Married,6146,0,1,Y,No,13,1,7,7,0
161,Yes,56,Female,Travel_Rarely,441,Research & Development,14,Life Sciences,2,3,2,Married,4963,9,1,Y,Yes,18,3,5,4,4
162,No,51,Male,Travel_Rarely,684,Research & Development,6,Life Sciences,1,3,3,Single,19537,7,1,Y,No,13,0,20,18,15
163,Yes,31,Male,Travel_Rarely,249,Sales,6,Life Sciences,2,1,3,Married,6172,4,1,Y,Yes,18,0,7,7,7
164,No,26,Female,Travel_Rarely,841,Research & Development,6,Other,3,2,2,Married,2368,1,1,Y,No,19,0,5,4,4
165,Yes,58,Female,Travel_Rarely,147,Research & Development,23,Medical,4,3,4,Married,10312,1,1,Y,No,12,1,40,10,15
167,Yes,19,Male,Travel_Rarely,528,Sales,22,Marketing,4,3,3,Single,1675,1,1,Y,Yes,19,0,0,0,0
169,No,22,Male,Travel_Rarely,594,Research & Development,2,Technical Degree,3,3,4,Married,2523,0,1,Y,No,14,1,2,1,2
170,No,49,Female,Travel_Rarely,470,Research & Development,20,Medical,3,3,1,Married,6567,1,1,Y,No,14,0,15,11,5
171,No,43,Female,Travel_Frequently,957,Research & Development,28,Medical,2,4,3,Single,4739,4,1,Y,No,12,0,3,2,1
174,No,50,Female,Travel_Frequently,809,Sales,12,Marketing,3,3,4,Single,9208,4,1,Y,No,11,0,2,2,2
175,Yes,31,Female,Travel_Rarely,542,Sales,20,Life Sciences,2,1,3,Married,4559,3,1,Y,Yes,11,1,2,2,2
176,No,41,Male,Travel_Rarely,802,Sales,9,Life Sciences,3,3,3,Divorced,8189,3,1,Y,Yes,13,1,9,7,0
177,No,26,Female,Travel_Rarely,1355,Human Resources,25,Life Sciences,3,3,3,Married,2942,1,1,Y,No,23,1,8,7,5
178,No,36,Male,Travel_Rarely,216,Research & Development,6,Medical,2,3,2,Divorced,4941,6,1,Y,No,20,2,3,2,0
179,Yes,51,Male,Travel_Frequently,1150,Research & Development,8,Life Sciences,1,1,4,Single,10650,2,1,Y,No,15,0,4,2,0
182,No,39,Female,Travel_Rarely,1329,Sales,4,Life Sciences,4,2,3,Married,5902,4,1,Y,No,14,1,15,11,5
183,No,25,Male,Travel_Rarely,959,Sales,28,Life Sciences,1,2,3,Married,8639,2,1,Y,No,18,0,2,2,2
184,No,30,Male,Travel_Rarely,1240,Human Resources,9,Human Resources,3,3,4,Married,6347,0,1,Y,Yes,19,0,11,9,4
190,Yes,32,Female,Travel_Rarely,1033,Research & Development,9,Medical,1,3,1,Single,4200,7,1,Y,No,22,0,5,4,0
192,No,45,Male,Travel_Rarely,1316,Research & Development,29,Medical,3,3,4,Single,3452,5,1,Y,No,13,0,6,5,0
193,No,38,Female,Travel_Rarely,364,Research & Development,3,Technical Degree,4,3,3,Single,4317,3,1,Y,Yes,20,0,3,2,2
194,No,30,Female,Travel_Rarely,438,Research & Development,18,Life Sciences,1,3,3,Single,2632,1,1,Y,No,14,0,5,4,0
195,No,32,Male,Travel_Frequently,689,Sales,9,Medical,4,1,4,Divorced,4668,0,1,Y,No,17,3,8,7,0
197,No,30,Female,Travel_Rarely,201,Research & Development,5,Technical Degree,4,3,1,Divorced,3204,5,1,Y,No,14,1,3,2,2
198,No,30,Male,Travel_Rarely,1427,Research & Development,2,Medical,2,2,4,Single,2720,0,1,Y,No,13,0,5,3,1
199,No,41,Male,Travel_Frequently,857,Research & Development,10,Life Sciences,4,2,1,Divorced,17181,4,1,Y,No,13,1,7,6,7
200,No,41,Male,Travel_Rarely,933,Research & Development,9,Life Sciences,3,3,1,Married,2238,2,1,Y,No,21,1,5,0,1
201,No,19,Female,Travel_Rarely,1181,Research & Development,3,Medical,2,3,2,Single,1483,1,1,Y,No,14,0,1,0,0
202,No,40,Female,Travel_Frequently,1395,Research & Development,26,Medical,2,3,2,Divorced,5605,1,1,Y,No,11,1,20,7,2
204,No,35,Male,Travel_Rarely,662,Sales,1,Marketing,3,3,2,Married,7295,1,1,Y,No,13,2,10,8,0
205,No,53,Male,Travel_Rarely,1436,Sales,6,Marketing,2,3,3,Married,2306,2,1,Y,Yes,20,1,7,7,4
206,No,45,Male,Travel_Rarely,194,Research & Development,9,Life Sciences,2,3,2,Divorced,2348,8,1,Y,No,18,1,17,9,0
207,No,32,Female,Travel_Frequently,967,Sales,8,Marketing,2,3,4,Single,8998,1,1,Y,No,14,0,9,8,3
208,No,29,Male,Non-Travel,1496,Research & Development,1,Technical Degree,4,3,3,Married,4319,1,1,Y,No,13,1,10,7,0
211,No,51,Male,Travel_Rarely,1169,Research & Development,7,Medical,2,2,3,Married,6132,2,1,Y,No,17,0,1,0,0
214,No,58,Female,Travel_Rarely,1145,Research & Development,9,Medical,2,2,2,Married,3346,4,1,Y,Yes,20,1,1,0,0
215,No,40,Male,Travel_Rarely,630,Sales,4,Marketing,3,2,4,Married,10855,7,1,Y,No,11,1,12,11,2
216,No,34,Female,Travel_Frequently,303,Sales,2,Marketing,3,3,3,Married,2231,6,1,Y,No,18,1,4,3,1
217,No,22,Male,Travel_Rarely,1256,Research & Development,19,Medical,3,3,4,Married,2323,1,1,Y,No,24,2,2,2,2
218,No,27,Male,Non-Travel,691,Research & Development,9,Medical,4,3,2,Divorced,2024,6,1,Y,No,18,1,2,2,2
221,No,28,Male,Travel_Rarely,440,Research & Development,21,Medical,3,3,4,Married,2713,1,1,Y,No,11,1,5,2,0
223,No,57,Male,Travel_Rarely,334,Research & Development,24,Life Sciences,3,4,4,Divorced,9439,3,1,Y,Yes,16,1,5,3,1
224,No,27,Male,Non-Travel,1450,Research & Development,3,Medical,3,2,3,Divorced,2566,1,1,Y,Yes,15,1,1,1,0
226,No,50,Female,Travel_Rarely,1452,Research & Development,11,Life Sciences,3,3,2,Single,19926,3,1,Y,No,15,0,5,4,4
227,No,41,Male,Travel_Rarely,465,Research & Development,14,Life Sciences,1,3,3,Divorced,2451,4,1,Y,No,12,1,9,8,1
228,No,30,Female,Travel_Rarely,1339,Sales,5,Life Sciences,2,3,4,Married,9419,2,1,Y,No,12,1,10,9,7
230,No,38,Female,Travel_Rarely,702,Sales,1,Life Sciences,1,2,4,Single,8686,4,1,Y,No,22,0,8,3,0
231,No,32,Male,Travel_Rarely,120,Research & Development,6,Life Sciences,3,3,3,Single,3038,3,1,Y,No,20,0,5,4,1
233,No,27,Male,Travel_Rarely,1157,Research & Development,17,Technical Degree,3,3,2,Married,3058,0,1,Y,Yes,16,1,5,2,1
235,Yes,19,Female,Travel_Frequently,602,Sales,1,Technical Degree,3,1,1,Single,2325,0,1,Y,No,21,0,0,0,0
238,No,36,Male,Travel_Frequently,1480,Research & Development,3,Medical,4,3,2,Single,2088,4,1,Y,No,12,0,8,7,7
239,No,30,Male,Non-Travel,111,Research & Development,9,Medical,3,3,1,Divorced,3072,1,1,Y,No,11,2,12,9,6
240,No,45,Female,Travel_Rarely,1268,Sales,4,Life Sciences,3,3,1,Divorced,5006,4,1,Y,Yes,11,1,5,4,0
241,No,56,Female,Travel_Rarely,713,Research & Development,8,Life Sciences,3,3,1,Divorced,4257,4,1,Y,Yes,18,1,2,2,2
242,No,33,Male,Travel_Rarely,134,Research & Development,2,Life Sciences,3,3,4,Single,2500,0,1,Y,No,14,0,3,1,0
243,Yes,19,Male,Travel_Rarely,303,Research & Development,2,Life Sciences,2,2,4,Single,1102,1,1,Y,No,22,0,1,0,1
244,No,46,Female,Travel_Rarely,526,Sales,1,Marketing,2,3,1,Divorced,10453,1,1,Y,No,25,3,24,13,15
245,No,38,Female,Travel_Rarely,1380,Research & Development,9,Life Sciences,3,3,4,Single,2288,1,1,Y,No,12,0,2,2,2
246,No,31,Female,Travel_Rarely,140,Research & Development,12,Medical,3,3,4,Married,3929,8,1,Y,Yes,23,1,4,2,0
247,No,34,Female,Travel_Rarely,629,Research & Development,27,Medical,4,3,2,Single,2311,2,1,Y,No,15,0,3,2,1
248,Yes,41,Female,Travel_Rarely,1356,Sales,20,Marketing,2,3,2,Single,3140,1,1,Y,Yes,22,0,4,3,0
249,No,50,Male,Travel_Rarely,328,Research & Development,1,Medical,3,2,3,Married,3690,2,1,Y,No,15,1,3,2,0
250,No,53,Female,Travel_Rarely,1084,Research & Development,13,Medical,4,4,1,Divorced,4450,1,1,Y,No,11,2,4,2,1
252,No,33,Female,Travel_Rarely,931,Research & Development,14,Medical,4,3,2,Married,2756,1,1,Y,No,13,1,8,7,1
253,No,40,Female,Travel_Rarely,989,Research & Development,4,Medical,4,3,3,Married,19033,1,1,Y,No,14,1,20,8,9
254,No,55,Male,Travel_Rarely,692,Research & Development,14,Medical,3,4,2,Single,18722,8,1,Y,No,11,0,24,15,2
256,No,34,Male,Travel_Frequently,1069,Research & Development,2,Life Sciences,4,2,3,Married,9547,1,1,Y,No,17,0,10,9,1
258,No,51,Female,Travel_Rarely,313,Research & Development,3,Medical,4,3,2,Single,13734,3,1,Y,No,18,0,7,7,1
259,No,52,Male,Travel_Rarely,699,Research & Development,1,Life Sciences,3,2,3,Married,19999,0,1,Y,No,14,1,33,18,11
260,No,27,Female,Travel_Rarely,894,Research & Development,9,Medical,4,3,2,Single,2279,1,1,Y,No,16,0,7,7,0
261,Yes,35,Male,Travel_Rarely,556,Research & Development,23,Life Sciences,2,2,3,Married,5916,3,1,Y,Yes,13,0,1,0,0
262,No,43,Male,Non-Travel,1344,Research & Development,7,Medical,4,4,4,Divorced,2089,4,1,Y,No,14,3,5,4,2
264,No,45,Male,Non-Travel,1195,Research & Development,2,Medical,1,2,4,Married,16792,9,1,Y,No,23,1,20,8,11
267,No,37,Male,Travel_Rarely,290,Research & Development,21,Life Sciences,2,4,1,Married,3564,1,1,Y,Yes,12,1,8,7,1
269,No,35,Female,Travel_Frequently,138,Research & Development,2,Medical,2,3,2,Single,4425,5,1,Y,No,11,0,6,2,1
270,No,42,Female,Non-Travel,926,Research & Development,21,Medical,3,3,3,Divorced,5265,2,1,Y,No,16,1,5,3,0
271,No,38,Male,Travel_Rarely,1261,Research & Development,2,Life Sciences,4,3,3,Married,6553,9,1,Y,No,14,0,1,0,0
273,No,38,Male,Travel_Rarely,1084,Research & Development,29,Technical Degree,4,3,4,Married,6261,3,1,Y,No,18,1,7,7,1
274,No,27,Male,Travel_Frequently,472,Research & Development,1,Technical Degree,3,2,1,Married,4298,5,1,Y,No,19,1,2,2,2
275,No,49,Male,Non-Travel,1002,Research & Development,18,Life Sciences,4,3,4,Divorced,6804,1,1,Y,Yes,15,2,7,7,1
277,No,34,Male,Travel_Frequently,878,Research & Development,10,Medical,4,3,3,Divorced,3815,1,1,Y,Yes,17,1,5,3,2
281,No,40,Male,Travel_Rarely,905,Research & Development,19,Medical,3,3,4,Married,2741,8,1,Y,Yes,15,1,7,2,3
282,Yes,38,Male,Travel_Rarely,1180,Research & Development,29,Medical,2,3,1,Married,6673,7,1,Y,Yes,19,0,1,0,0
283,Yes,29,Female,Travel_Rarely,121,Sales,27,Marketing,2,3,4,Married,7639,1,1,Y,No,22,3,10,4,1
284,No,22,Male,Travel_Rarely,1136,Research & Development,5,Life Sciences,4,4,2,Divorced,2328,1,1,Y,Yes,16,1,4,2,2
286,No,36,Female,Travel_Frequently,635,Research & Development,18,Medical,2,3,4,Single,2153,1,1,Y,No,13,0,8,1,1
287,No,40,Male,Non-Travel,1151,Research & Development,9,Life Sciences,4,2,4,Married,4876,9,1,Y,No,14,1,3,2,0
